id,name,size.bytecode,size.static
13,__wasm_call_ctors,5,808
14,undefined_weak:__wasilibc_find_relpath_alloc,4,504
15,_start,84,992
16,main,2502,6912
17,rank(int),1519,2712
18,_GLOBAL__sub_I_is.cpp,99,1064
19,"c_print_results(char*, char, int, int, int, int, double, double, char*, int, char*, char*, char*, char*, char*, char*, char*, char*, char*, char*)",1002,3072
20,"randlc(double*, double)",326,1584
21,timer_clear(int),20,536
22,timer_start(int),64,920
23,timer_stop(int),87,944
24,timer_read(int),18,536
25,wtime_(double*),117,1176
26,malloc,12,808
27,dlmalloc,5377,8240
28,prepend_alloc,1091,1680
29,free,12,808
30,dlfree,1713,2216
31,calloc,108,984
32,gettimeofday,113,1016
33,_Exit,13,792
34,__main_void,214,1400
35,__wasi_args_get,18,816
36,__wasi_args_sizes_get,18,824
37,__wasi_clock_time_get,20,824
38,__wasi_fd_close,16,824
39,__wasi_fd_fdstat_get,18,824
40,__wasi_fd_fdstat_set_flags,18,824
41,__wasi_fd_prestat_get,18,824
42,__wasi_fd_prestat_dir_name,20,824
43,__wasi_fd_read,22,824
44,__wasi_fd_seek,22,824
45,__wasi_fd_write,22,824
46,__wasi_path_open,38,992
47,__wasi_proc_exit,12,792
48,abort,5,504
49,sbrk,79,888
50,dummy,3,512
51,__wasm_call_dtors,15,864
52,exit,24,896
53,ldexp,14,808
54,scalbn,175,984
55,dummy,4,512
56,fclose,153,1288
57,fflush,361,1648
58,__fmodeflags,103,1032
59,__wasilibc_populate_preopens,226,1296
60,internal_register_preopened_fd_unlocked,280,1320
61,__wasilibc_find_relpath,95,904
62,__wasilibc_find_abspath,344,1408
63,__wasilibc_nocwd_openat_nomode,282,1240
64,close,41,936
65,__wasilibc_open_nomode,163,1024
66,fcntl,275,1504
67,__isatty,103,968
68,__lseek,101,976
69,__stdio_seek,18,840
70,writev,115,984
71,__stdio_write,316,1368
72,readv,114,984
73,read,114,984
74,__stdio_read,253,1224
75,__stdio_close,15,840
76,__fdopen,390,1712
77,fopen,102,1112
78,__ofl_lock,9,520
79,__ofl_unlock,3,512
80,__ofl_add,53,944
81,dummy,5,512
82,__lctrans,13,808
83,strerror,87,904
84,__stdio_exit,388,1712
85,__towrite,94,624
86,__fwritex,238,1344
87,fwrite,290,1368
88,__overflow,165,1192
89,fputc,70,904
90,perror,177,1320
91,printf,60,912
92,putchar,89,888
93,fputs,37,944
94,puts,109,984
95,sprintf,56,904
96,__stdout_write,61,1008
97,wcrtomb,311,856
98,wctomb,26,848
99,frexp,145,1200
100,vfprintf,398,1568
101,printf_core,8995,18856
102,pop_arg,565,1808
103,pad,159,1168
104,long_double_not_supported,30,856
105,vsnprintf,180,1152
106,sn_write,183,1176
107,vsprintf,22,840
108,memchr,371,800
109,memcmp,75,584
110,memcpy,1008,1888
111,memset,393,1200
112,strchr,31,864
113,__strchrnul,358,1144
114,strdup,48,960
115,strlen,205,656
116,strnlen,25,880
